Category,First Word Letters,Number of Words,Phrase,Total Number of Letters
Same Letter,4,3,Pens Pencils & Paints,17
Same Letter,9,3,Pepperoni Pineapple Pizza,23
Same Letter,7,3,Perfect Party Playlist,20
Same Letter,7,3,Perfect Patterned Plates,22
Same Letter,7,3,Perfect Peach Pie,15
Same Letter,7,3,Perfect Penne Pasta,17
Same Letter,7,3,Perfect Pet Puppy,15
Same Letter,7,3,Perfect Puff Pastry,17
Same Letter,9,3,Perfectly Preserved Paradise,26
Same Letter,9,3,Perfectly Pretty Picnic,21
Same Letter,5,3,Pizza Popcorn & Peanuts,19
Same Letter,5,3,Pizza Popcorn & Pizza,17
Same Letter,6,2,Player Piano,11
Same Letter,7,2,Playful Poke,11
Same Letter,8,2,Pleasing Poetry,14
Same Letter,5,3,Plump Perfect Plums,17
Same Letter,5,3,Plump Pickled Peppers,19
Same Letter,7,3,Popular Pizza Parlor,18
Same Letter,7,3,Popular Pizza Places,18
Same Letter,7,4,Popular Pork Pot Stickers,22
Same Letter,7,3,Popular Pumpkin Patch,19
Same Letter,9,2,Porcelain Plaques,16
Same Letter,8,3,Precious Patriotic Places,23
Same Letter,12,3,Presidential & Navy Seal,20
Same Letter,6,2,Pretty Pearls,12
Same Letter,6,3,Pretty Peony Prints,17
Same Letter,6,3,Pretty Perennial Plants,21
Same Letter,6,3,Pretty Proud Peacocks,19
Same Letter,10,3,Previously Purchased Produce,26
Same Letter,7,3,Private Plunge Pool,17
Same Letter,11,4,Professinal Ping Pong Player,25
Same Letter,12,3,Professional Party Planner,24
Same Letter,12,3,Professional Ping-Pong Player,26
Same Letter,6,3,Purple Paisley Pajamas,20
Same Letter,4,2,Rare Relics,10
Same Letter,4,4,Rest Relax Refresh Rejuvenate,26
Same Letter,6,3,Return Receipt Requested,22
Same Letter,9,3,Revolving Rooftop Restaurant,26
Same Letter,5,2,River Rocks,10
Same Letter,4,3,Safe Storage Space,16
Same Letter,6,3,Salted Sunflower Seeds,20
Same Letter,5,3,Salty Smoked Sausage,18
Same Letter,7,4,Sauteed Scallops & Steamed Shrimp,28
Same Letter,5,3,Scary & Spooky Superstitions,24
Same Letter,5,4,Scary And Spooky Superstitutions,29
Same Letter,11,3,Scrumptious Seafood Stew,22
Same Letter,11,3,Scrumptious Succulent Strawberries,32
Same Letter,8,3,Seasonal Submarine Sandwiched,27
Same Letter,8,2,Security System,14
Same Letter,11,3,Sensational  Submarine Sandwich,28
Same Letter,11,3,Sensational Seasonal Snacks,25
Same Letter,11,3,Sensational Sectional Sofa,24
Same Letter,11,3,Sensational Stage Shows,21
Same Letter,11,3,Sensational Stocking Stuffer,26
Same Letter,11,3,Sensational Stocking Stuffers,27
Same Letter,11,3,Sensational Submarine Sandwich,28
Same Letter,10,3,Sensationl Stocking Stuffers,26
Same Letter,6,3,Shorts Sandals & Swimsuits,22
Same Letter,5,2,Silly Shenanigans,16
Same Letter,5,3,Silly Stocking Stuffers,21
Same Letter,6,3,Simple Stocking Stuffers,22
Same Letter,7,2,Sincere & Strong,13
Same Letter,5,3,Sleek Slick & Snazzy,16
Same Letter,6,3,Sliced Spicy Sausage,18
Same Letter,4,3,Snow White Sale,13
Same Letter,9,3,Spaghetti Squash Stromboli,24
Same Letter,11,3,Spectacular Sunlit Suite,22
Same Letter,5,3,Spicy Seafood Soup,16
Same Letter,5,3,Spicy Seafood Stew,16
Same Letter,6,3,Sports & Candy Bar,14
Same Letter,6,3,Squash Surfing & Swimming,21
Same Letter,9,4,Stainless Steel Spaghetti Strainer,31
Same Letter,14,3,Stainless-Steel Spaghetti Strainer,31
Same Letter,5,3,Stars Stripes & States,18
Same Letter,11,2,Star-Studded Spectacular,22
Same Letter,6,3,Sticky Silky Spiderweb,20
Same Letter,8,2,Stocking Stuffers,16
Same Letter,7,3,Strange Scary Stories,19
Same Letter,7,3,Strikes Spares & Splits,19
Same Letter,7,3,Strikes Spares Splits,19
Same Letter,6,3,Strong Sorority Sisters,21
Same Letter,7,3,Stylish Strappy Sandals,21
Same Letter,3,3,Sun Soaked Surfers,16
Same Letter,3,3,Sun Surf & Sand,11
Same Letter,9,2,Sun-Soaked Surfers,16
Same Letter,5,3,Sweet Strawberry Sangria,22
Same Letter,5,3,Sweet Strawberry Sorbet,21
Same Letter,5,3,Tasty Tantalizing Treats,22
Same Letter,5,3,Tasty Turkey Tacos,16
Same Letter,5,3,Tasty Turkey Tenderloins,22
Same Letter,9,2,Teeny-Tiny Tadpoles,17
Same Letter,9,3,Telegraph Telephone & Television,28
Same Letter,9,3,Telegraph Telephone Television,28
Same Letter,8,3,Terrific Taco Truck,17
Same Letter,8,3,Terrific Top Trends,17
Same Letter,7,3,Through Thick & Thin,16
Same Letter,6,3,Tinsel Traditions & Trees,21
Same Letter,4,2,Tiny Twig,8
Same Letter,5,3,Topaz Tanzanite & Turquoise,23
Same Letter,9,2,Touchtone Phone,14
Same Letter,9,2,Touchtone Telephone,18
Same Letter,6,3,Twelve Bowling Pins,17
Same Letter,6,3,Twisty Turning Track,18
Same Letter,10,3,Typewriter & Hair Ribbon,20
Same Letter,8,3,Warlocks Witches & Wizards,22
Same Letter,4,3,Warm Winter Wrap,14
Same Letter,5,3,Windy Winter Weather,18
Same Letter,6,2,Winter Wonderland,16
Same Letter,6,3,Wonder Winter Woollies,20
Same Letter,9,3,Wonderful Warm Weather,20
Same Letter,9,3,Wonderful Warm Woolens,20
Same Letter,9,3,Wonderful Winter Woollies,23
Same Name,1,4,A Chorus & Waiting Line,18
Same Name,5,3,Adobe & Camera Flash,16
Same Name,7,3,African & Shrinking Violet,22
Same Name,7,4,African And Shrinking Violet,25
Same Name,7,4,Airport And Project Runway,23
Same Name,6,3,Alaska & Gas Range,14
Same Name,5,4,Album & Run For Cover,16
Same Name,8,3,Alcatraz & Gilligan's Island,23
Same Name,9,3,Alexander & George Hamilton,23
Same Name,9,4,Alexander And George Hamilton,26
Same Name,5,3,Alice & Coco Cooper,15
Same Name,6,3,Alicia & Car Keys,13
Same Name,5,3,Alien & Human Beings,16
Same Name,12,3,Alphabetical & Numerical Order,26
Same Name,6,5,Amazon River & Ganges River Dolphin,29
Same Name,5,3,Amber & Ginger Ale,14
Same Name,6,5,Andrew & Don't Press Your Luck,23
Same Name,3,3,Ann & Chicken Curry,15
Same Name,4,3,Anne & Ty Burrell,13
Same Name,5,3,Annie & Banquet Hall,16
Same Name,5,3,Annie & Carnegie Hall,17
Same Name,3,3,Ant & British Colony,16
Same Name,7,3,Antique & Voting Booth,18
Same Name,7,3,Appeals & King's Court,17
Same Name,7,3,Apricot & Traffic Jam,17
Same Name,9,3,Artichoke & Artificial Heart,24
Same Name,6,3,Artist & Photography Studio,23
Same Name,8,4,Assigned Parking & Storage Space,27
Same Name,10,3,Associated & Panini Press,21
Same Name,11,3,Asssociated & Panini Press,22
Same Name,9,3,Astrology & Medical Chart,21
Same Name,6,3,Austin & Supernatural Powers,24
Same Name,9,3,Automatic & Handsome Pilot,22
Same Name,7,3,Awesome & Artistic Ability,22
Same Name,7,3,Awesome Architecture & Artwork,26
Same Name,2,5,B.B. & Chicken A La King,16
Same Name,4,3,Baby & Afternoon Shower,19
Same Name,4,3,Baby & April Shower,15
Same Name,4,3,Baby & Hall Monitor,15
Same Name,4,3,Baby & Secret Formula,17
Same Name,4,4,Baby And Chili Powder,18
Same Name,10,3,Background & Rent Check,19
Same Name,5,4,Baked And Exported Goods,21
Same Name,6,3,Baker's & Dirty Dozen,16
Same Name,6,3,Baking & Baby Powder,16
Same Name,6,3,Baking & Blasting Powder,20
Same Name,6,3,Baking & Diet Soda,14
Same Name,6,3,Baking & Powder Puff,16
Same Name,6,3,Baking & Talcum Powder,18
Same Name,4,3,Ball & Hospital Gown,16
Same Name,4,4,Ball And Hospital Gown,19
Same Name,6,3,Ballet & Desmond Tutu,17
Same Name,6,3,Ballot & Gift Box,13
Same Name,6,3,Ballot & Suggestion Box,19
Same Name,9,3,Ballpoint & Finepoint Pen,21
Same Name,4,3,Bank & Fortune Teller,17
Same Name,4,4,Bank And Mineral Deposit,21
Same Name,7,4,Banquet And Coffee Table,21
Same Name,7,4,Barbara & East Of Eden,17
Same Name,10,3,Bargaining & Potato Chip,20
Same Name,5,3,Barry & Savings Bonds,17
Same Name,8,3,Baseball & Hope Diamond,19
Same Name,8,3,Baseball & Winter Season,20
Same Name,5,3,Basic & Potty Training,18
Same Name,4,3,Bass & Treble Clef,14
Same Name,7,3,Bathing & Birthday Suit,19
Same Name,7,3,Bathing & Business Suit,19
Same Name,8,3,Bathroom & Fish Scale,17
Same Name,8,3,Bathroom & Horse Stall,18
Same Name,4,3,Bear & Bull Market,14
Same Name,9,4,Beautiful Baby's Breath Bouquet,27
Same Name,6,3,Beauty & Question Mark,18
Same Name,6,3,Beaver & Meat Cleaver,17
Same Name,3,3,Ben & Aretha Franklin,17
Same Name,6,3,Bengal & Detroit Tigers,19
Same Name,7,3,Bermuda & Short Shorts,18
Same Name,7,4,Beverly Hills & Top Cop,18
Same Name,7,3,Bicycle & Food Chain,16
Same Name,7,4,Bicycle And Food Chain,19
Same Name,7,3,Bikinis & Swim Trunks,17
Same Name,4,4,Bill Of & Voting Rights,18
Same Name,5,4,Bills Of & Voting Rights,19
Same Name,5,3,Birth & Brand Name,14
Same Name,5,3,Black Buckle Boots,16
Same Name,5,3,Block & Tailgate Party,18
Same Name,4,4,Blue And Full Moon,15
Same Name,10,3,Blue-Ribbon & Plywood Panel,22
Same Name,2,3,Bo & Jesse Jackson,14
Same Name,2,3,Bo & Luke Duke,10
Same Name,2,4,Bo And Jesse Jackson,17
Same Name,8,3,Boarding & Hall Pass,16
Same Name,3,3,Bob & Carnival Barker,17
Same Name,3,3,Bob & Ziggy Marley,14
Same Name,6,3,Bottle & Radiator Cap,17
Same Name,10,3,Bottomless & Cherry Pit,19
Same Name,7,3,Bowling & Carpool Lane,18
Same Name,7,3,Bowling & Dark Alley,16
Same Name,7,4,Bowling And Dark Alley,19
Same Name,6,4,Boxing & Mix And Match,17
Same Name,7,3,Bradley & Gary Cooper,17
Same Name,8,3,Brantley & Sara Gilbert,19
Same Name,6,3,Bridal & April Shower,17
Same Name,6,3,Bridal & Formal Gown,16
Same Name,7,3,Browser & Sugar Cookies,19
Same Name,8,3,Browsing & American History,23
Same Name,5,4,Bruno & Man From Mars,16
Same Name,5,4,Bruno & Men From Mars,16
Same Name,6,3,Bubble & Movie Screen,17
Same Name,6,3,Bubble & Saran Wrap,15
Same Name,6,3,Bubble & Thermal Wrap,17
Same Name,6,3,Bubble Bath Bombs,15
Same Name,7,3,Buffalo & Paid Bills,16
Same Name,7,3,Buffalo & Telephone Bills,21
Same Name,5,3,Buffy & Hot Summers,15
Same Name,4,3,Bugs & Dumb Bunny,13
Same Name,4,3,Bull & Tiger Shark,14
Same Name,4,4,Bull And Tiger Shark,17
Same Name,11,3,Bulletproof & Tuxedo Vest,21
Same Name,7,5,Burlese And Green Tree Python,25
Same Name,7,4,Burmese & Green Tree Python,22
Same Name,8,3,Business & Casual Attire,20
Same Name,8,3,Business & Family Trip,18
Same Name,4,5,Busy As A & Aunt Bee,14
Same Name,7,3,Calming & Adverse Effect,20
Same Name,8,3,Campaign & Charitable Donations,27
Same Name,8,3,Campaign & Hiking Trail,19
Same Name,8,3,Campaign & Mute Button,18
Same Name,8,4,Campaign And Hiking Trail,22
Same Name,8,4,Campaign And Mute Button,21
Same Name,6,3,Candle & Fruit Wax,14
Same Name,5,3,Candy & Karaoke Bars,16
Same Name,5,4,Candy & Pull Up Bar,14
Same Name,5,3,Candy & Pull-Up Bar,14
Same Name,5,4,Candy And Karaoke Bars,19
Same Name,5,3,Canoe & Fraternity Paddle,21
Same Name,7,3,Capital & Lowercase Letters,23
Same Name,7,3,Capitol & Lauryn Hill,17
Same Name,7,3,Caramel Chocolate & Candy,21
Same Name,4,3,Card & Nurse Shark,14
Same Name,6,3,Career & Hidden Path,16
Same Name,5,3,Cargo & Escape Hatch,16
Same Name,7,3,Carpool & Diane Lane,16
Same Name,7,4,Carpool Lane & Lois Lane,19
Same Name,6,3,Carrot & Popsicle Sticks,20
Same Name,8,4,Carrying A & Tommy Tune,18
Same Name,4,3,Cash & Weekly Allowance,19
Same Name,9,3,Casserole & Satellite Dish,22
Same Name,6,3,Casual & Freaky Friday,18
Same Name,3,3,Cat & Back Scratcher,16
Same Name,3,5,Cat & Pick Up Your Litter,19
Same Name,6,3,Cattle & Jolly Ranchers,19
Same Name,4,3,Cave & Lottery Drawing,18
Same Name,7,3,Ceiling & Die-Hard Fan,17
Same Name,9,3,Celebrity & Weenie Roast,20
Same Name,9,4,Celebrity And Wennie Roast,23
Same Name,7,4,Central Nervous & Computer System,28
Same Name,6,3,Cereal & Toilet Bowl,16
Same Name,9,3,Champagne & Burnt Toast,19
Same Name,9,3,Champagne & Wheat Toast,19
Same Name,7,4,Chariot & Potato Sack Race,21
Same Name,6,3,Cherry & Plum Tarts,15
Same Name,6,3,Cherry Plum & Tart,14
Same Name,7,3,Chicago & Black Bears,17
Same Name,7,3,Chicago & Cheetah Cubs,18
Same Name,7,3,Chicago & Grizzled Bears,20
Same Name,7,3,Chicago & Grizzly Bears,19
Same Name,7,4,Chicago And Grizzly Bears,22
Same Name,7,3,Chicken & Airplane Wings,20
Same Name,7,3,Chicken & Beef Broth,16
Same Name,7,4,Chicken And Airplane Wings,23
Same Name,5,4,Chief Warrant & Undercover Officer,29
Same Name,7,4,Chigaco And Cheetah Cubs,21
Same Name,9,3,Chocolate Chiffon Cake,20
Same Name,5,3,Chuck & Halle Berry,15
Same Name,6,3,Circus & Oxygen Tent,16
Same Name,7,3,Citizen & Carol Kane,16
Same Name,7,4,Citizen And Carol Kane,19
Same Name,4,3,City & Study Hall,13
Same Name,6,3,Claire & Great Danes,16
Same Name,4,3,Clay & Veggie Wrap,14
Same Name,8,3,Climbing & Ship's Anchor,19
Same Name,8,3,Climbing & Ships Anchor,19
Same Name,8,3,Clinical & Dire Trial,17
Same Name,8,3,Clinical & Jury Trial,17
Same Name,5,4,Clint & Fade To Black,16
Same Name,6,4,Coffee And Lucky Break,19
Same Name,6,4,Coffee And Organ Grinder,21
Same Name,7,4,College & A Class President,22
Same Name,7,3,College & Class President,21
Same Name,6,3,Common & Bank Vole,14
Same Name,6,3,Common & Proper Noun,16
Same Name,6,4,Common And Proper Noun,19
Same Name,11,3,Competitive & Mother Nature,23
Same Name,8,3,Computer & Potato Chips,19
Same Name,12,3,Construction & Comfort Zone,23
Same Name,7,3,Contact & Shopping List,19
Same Name,6,3,Cookie & Frankenstein's Monster,26
Same Name,6,5,Cookie & Member Of The Press,22
Same Name,7,3,Cooking & Outer Space,17
Same Name,5,3,Cough & Mail Drop,13
Same Name,5,3,Cough & Rain Drop,13
Same Name,6,4,County & Child's Car Seat,19
Same Name,5,3,Court & News Reporter,17
Same Name,5,3,Court & Shipping Clerk,18
Same Name,5,3,Cover & Electric Charge,19
Same Name,7,3,Covered & Dessert Dish,18
Same Name,4,3,Cow's & Shoe Tongue,14
Same Name,4,4,Cow's And Shoe Tongue,17
Same Name,6,3,Credit & Birthday Card,18
Same Name,4,4,Crew And Butchers Cut,18
Same Name,4,3,Crop & Earth's Rotation,18
Same Name,7,3,Crunchy Coconut Chips,19
Same Name,8,3,Culinary & Chicken Delight,22
Same Name,7,3,Culture & Country Club,18
Same Name,5,3,Cupid & Green Arrow,15
Same Name,6,3,Cupid's & Green Arrow,16
Same Name,7,3,Curtain & Wake-Up Call,17
Same Name,7,3,Cutting & Bulletin Board,20
Same Name,5,3,Dance & Piano Recital,17
Same Name,7,3,Dancing & Dairy Queen,17
Same Name,7,3,Darning & Overcast Stitch,21
Same Name,4,3,Data & Escape Plan,14
Same Name,4,3,Date & Honey Shake,14
Same Name,9,4,Defensive & Scratch My Back,22
Same Name,9,3,Delicious Dessert Dips,20
Same Name,6,3,Dennis & Glenn Miller,17
Same Name,7,3,Dessert & Home Plate,16
Same Name,7,3,Diamond & Boxing Ring,17
Same Name,5,3,Diana & Betsy Ross,14
Same Name,5,3,Diane & Carpool Lane,16
Same Name,5,3,Diane & Country Lane,16
Same Name,5,3,Diane & Judge's Chambers,19
Same Name,6,3,Diaper & Mop Pail,13
Same Name,4,3,Dick & New York,11
Same Name,6,3,Dinner & Liberty Bell,17
Same Name,6,3,Dinner & Uninvited Guests,21
Same Name,6,3,Dinner Fashion Plate,18
Same Name,9,3,Director's & Butcher's Cut,20
Same Name,4,4,Dive And Sundae Bar,16
Same Name,6,4,Diving & Alexander Graham Bell,25
Same Name,6,3,Diving & Liberty Bell,17
Same Name,6,3,Diving & School Board,17
Same Name,6,3,Diving & Sleigh Bells,17
Same Name,6,4,Diving And School Board,20
Same Name,3,3,Dog & Buttermilk Biscuits,21
Same Name,6,3,Doggie & Grocery Bag,16
Same Name,5,3,Doggy & Shopping Bag,16
Same Name,7,3,Dogwood & Family Tree,17
Same Name,6,5,Domain & What's In A Name,18
Same Name,4,6,Don't Rain On My & Easter Parade,24
Same Name,8,4,Doomsday And General Zod,21
Same Name,4,3,Door & Booby Prize,14
Same Name,6,3,Doo-Wop & Scientific Groups,22
Same Name,6,3,Double & Chicken Wing,17
Same Name,7,3,Drastic & Tape Measure,18
Same Name,7,3,Drawing & Brake Pad,15
Same Name,5,4,Dried Onion & Class Ring,19
Same Name,7,3,Driver's & Passenger Seat,20
Same Name,7,3,Driving & Main Course,17
Same Name,7,3,Driving & Memory Lane,17
Same Name,3,3,Dry & Floating Dock,15
Same Name,4,3,Duck & Anonymous Call,17
Same Name,4,3,Duke & Cat Ellington,16
Same Name,6,3,Dustin & Jane Lynch,15
Same Name,6,4,Dustin And Jane Lynch,18
Same Name,3,3,Ear & Snare Drum,12
Same Name,6,4,Earned & Piqued My Interest,22
Same Name,6,5,Earned And Piqued My Interest,25
Same Name,7,3,Earring & Fishing Hook,18
Same Name,7,3,Earthly & Tree Branches,19
Same Name,4,3,East & West Coast,13
Same Name,4,4,East And Challenging Trails,24
Same Name,6,4,Easter And Dust Bunny,18
Same Name,4,3,Easy & Challenging Trails,21
Same Name,3,3,Ego & Weekend Trip,14
Same Name,7,3,Elastic & Jazz Band,15
Same Name,7,4,Elastic And Jazz Band,18
Same Name,5,3,Elbow & Shoulder Pads,17
Same Name,8,3,Election & Positive Results,23
Same Name,8,3,Election & Test Results,19
Same Name,8,4,Election And Test Results,22
Same Name,9,3,Electoral & Community College,25
Same Name,10,3,Electrical & Orchestra Conductor,28
Same Name,3,4,Elm And Family Tree,16
Same Name,10,3,Embroidery & House Key,18
Same Name,4,3,Emma & Pumice Stone,15
Same Name,7,3,Emperor & Pittsburgh Penguins,25
Same Name,6,3,Energy & Karaoke Bar,16
Same Name,8,3,Entrance & Written Exam,19
Same Name,11,4,Exclamation & Make Your Point,24
Same Name,9,3,Executive & Breakfast Order,23
Same Name,8,3,Exercise & Dance Routine,20
Same Name,7,3,Exhaust & Corncob Pipe,18
Same Name,3,3,Eye & Five-O'Clock Shadow,19
Same Name,3,4,Eye And Oral Exam,14
Same Name,7,3,Eyebrow & Mechanical Pencil,23
Same Name,7,4,Eyebrow And Mechanical Pencil,26
Same Name,8,3,Fabulous & Marine Mysteries,23
Same Name,4,3,Face & Extra Value,14
Same Name,5,3,Fairs Festivals & Feasts,20
Same Name,5,3,Faith & Bunker Hill,15
Same Name,5,4,Faith And Lauryn Hill,18
Same Name,6,3,Family & Club Members,17
Same Name,3,3,Fan & First Base,12
Same Name,6,3,Farmer & Elton John,15
Same Name,7,3,Fashion & Bank Statement,20
Same Name,4,3,Film & Motley Crew,14
Same Name,6,3,Finger & Super Bowl,15
Same Name,4,3,Fire & Indian Chief,15
Same Name,9,3,Fireworks & Window Display,22
Same Name,4,4,Fish And Gas Tank,14
Same Name,7,3,Fishing & Lightning Rod,19
Same Name,7,3,Fishing & North Pole,16
Same Name,7,4,Fishing And North Pole,19
Same Name,7,3,Fitness & Daily Routine,19
Same Name,7,3,Fitness & Economy Class,19
Same Name,8,3,Flamenco & Disco Dancer,19
Same Name,9,3,Fleetwood & Big Mac,15
Same Name,7,3,Florida & Car Keys,14
Same Name,6,3,Flower & Stock Market,17
Same Name,6,3,Flower & Taste Buds,15
Same Name,5,3,Focal & Breaking Point,18
Same Name,5,3,Folic & Hydrochloric Acid,21
Same Name,5,3,Folic Hydrchloric Acid,20
Same Name,8,3,Football & Playing Field,20
Same Name,8,4,Football And New Jersey,20
Same Name,9,3,Fraternal & Court Order,19
Same Name,8,3,Freezing & Boiling Point,20
Same Name,8,4,Freudian And Permission Slip,25
Same Name,5,4,Fried Onion & Class Ring,19
Same Name,10,3,Fried-Onion & Class Ring,19
Same Name,6,3,Fringe & Mutual Benefit,19
Same Name,5,3,Froot & Belt Loops,14
Same Name,5,3,Fruit & Knockout Punch,18
Same Name,6,5,Frying & Flash In The Pan,19
Same Name,4,3,Fuel & Water Pump,13
Same Name,7,4,Funeral & Sterling Silver Service,28
Same Name,7,3,Funeral & Sterling-Silver Service,28
Same Name,6,3,Future & Flight Plan,16
Same Name,6,3,Garden & Bunk Bed,13
Same Name,6,3,Garlic & Baby Powder,16
Same Name,6,3,Garter & Bible Belt,15
Same Name,5,3,Garth & Mel Brooks,14
Same Name,3,3,Gas & Army Tank,11
Same Name,3,3,Gas & Water Pump,12
Same Name,8,3,Gasoline & Water Pump,17
Same Name,3,3,Gee & Cheez Whiz,12
Same Name,6,3,Geiger & Digital Counter,20
Same Name,8,3,Geologic & Official Record,22
Same Name,6,3,George & Bering Strait,18
Same Name,6,3,George & Lake Washington,20
Same Name,6,4,George & Walla Walla Washington,26
Same Name,6,3,Gerald & Henry Ford,15
Same Name,7,3,Geraldo & Chita Rivera,18
Same Name,10,3,Gettysburg & Home Address,21
Same Name,6,5,Gilded & Lying About My Age,21
Same Name,7,4,Glamour & Puss In Boots,18
Same Name,4,3,Gold & Birth Record,15
Same Name,4,3,Gold & Wet Bar,10
Same Name,6,3,Golden & Bald Eagle,15
Same Name,6,3,Golden & Fallen Arches,18
Same Name,6,3,Golden & Telephone Ring,19
Same Name,8,3,Goldfish & Super Bowl,17
Same Name,4,3,Golf & Coffee Cart,14
Same Name,4,5,Good & The New York Times,19
Same Name,4,4,Good Will & Deer Hunting,19
Same Name,10,3,Government & Corporate Bonds,24
Same Name,10,4,Government And Corporate Bonds,27
Same Name,7,4,Granola And Monkey Bars,20
Same Name,5,3,Gravy & Choo-Choo Train,18
Same Name,5,3,Gravy & Owning Boats,16
Same Name,5,3,Gravy & Rowing Boats,16
Same Name,5,3,Gravy & Sinking Boat,16
Same Name,4,3,Gray & Bowhead Whale,16
Same Name,5,5,Great White & San Jose Sharks,23
Same Name,5,3,Green & Tom Thumb,13
Same Name,5,4,Green Bay & Meat Packers,19
Same Name,6,3,Grevy's & Plains Zebra,17
Same Name,7,3,Grizzly & Teddy Bear,16
Same Name,9,3,Groundhog & Doris Day,17
Same Name,9,4,Groundhog And Doris Day,20
Same Name,5,3,Guest & Family Pass,15
Same Name,5,4,Guest & Top Ten List,15
Same Name,6,4,Guitar $ Soccer Player,19
Same Name,6,3,Guitar & Soccer Player,18
Same Name,4,3,Hair & Paper Clips,14
Same Name,4,4,Hair And Paper Clips,17
Same Name,9,3,Halloween & Facial Mask,19
Same Name,9,4,Hamburger & Move Your Buns,21
Same Name,11,3,Handwritten & Musical Note,22
Same Name,11,3,Handwritten & Musical Notes,23
Same Name,5,3,Handy Helpful Handbook,20
Same Name,5,3,Happy & Witching Hour,17
Same Name,7,5,Hawkeye & Get To The Point,20
Same Name,7,5,Hawkeye Get To The Point,20
Same Name,7,3,Healthy & Fighting Weight,21
Same Name,6,3,Helmut & Fig Newton,15
Same Name,4,4,High & Late Middle Ages,18
Same Name,4,3,High & Low Season,13
Same Name,4,3,High & Low Visibility,17
Same Name,7,3,Highway & Solar System,18
Same Name,3,3,Hip & Clip Joint,12
Same Name,8,3,Hitching & Parcel Post,18
Same Name,8,4,Hitching & The Washington Post,25
Same Name,9,3,Hollywood & Stop Sign,17
Same Name,5,3,Homer & Jessica Simpson,19
Same Name,5,4,Homer And Jessica Simpson,22
Same Name,5,3,Honey Ham & Hotcakes,16
Same Name,4,4,Hong And King Kong,15
Same Name,5,3,Honor & Subway System,17
Same Name,5,3,Honor & Tootsie Roll,16
Same Name,11,3,Hospitality & Honeymoon Suite,25
Same Name,9,3,Hourglass & Ballpark Figure,23
Same Name,5,3,House & Car Keys,12
Same Name,1,6,I Can't Get No & Customer Satisfaction,30
Same Name,6,3,Icabod & Whooping Crane,19
Same Name,3,5,Ice Cream And Pine Cone,19
Same Name,7,3,Ichabod & Whooping Crane,20
Same Name,2,5,In The Driver's & Hot Seat,19
Same Name,7,3,Indiana & Norah Jones,17
Same Name,11,3,Inferiority & Apartment Complex,27
Same Name,6,3,Inland & Roman Empire,17
Same Name,5,3,Inner & Outer Arch,14
Same Name,5,4,Inner And Outer Arch,17
Same Name,9,3,Instanbul & Stuffed Turkey,22
Same Name,9,3,Insurance & Free Agent,18
Same Name,11,3,Intelligent Idealistic Inventors,30
Same Name,8,3,Internet & Love Connection,22
Same Name,5,3,Irish & Jet Setter,14
Same Name,4,4,Iron & Make A Fist,13
Same Name,6,4,Island And Bicycle Chain,21
Same Name,8,4,Istanbul And Stuffed Turkey,24
Same Name,6,3,Itunes & School Library,19
Same Name,6,3,Jackie & Benny Chan,15
Same Name,5,3,James & Savings Bond,16
Same Name,4,3,Jane & John Doe,11
Same Name,4,3,Jazz & Auto Club,12
Same Name,4,3,Jean & Joel Grey,12
Same Name,8,3,Jennifer & Vicki Lawrence,21
Same Name,3,3,Jet & Irish Setter,14
Same Name,5,3,Jodie & Banana Foster,17
Same Name,5,3,Jodie & Bananas Foster,18
Same Name,6,3,Johann & Levi Strauss,17
Same Name,5,3,Juice & Isaac Newton,16
Same Name,6,3,Jungle & Private Gym,16
Same Name,6,3,Junior & Executive Suite,20
Same Name,4,3,Jury & Civil Duty,13
Same Name,7,3,Justice & Bowling League,20
Same Name,7,3,Justice & Bowling Legue,19
Same Name,7,4,Justice & National Football League,29
Same Name,8,3,Kangaroo & Pencil Pouch,19
Same Name,5,3,Kanye & Key West,12
Same Name,7,3,Karaoke & Candy Bar,15
Same Name,7,3,Karaoke & Lemon Bars,16
Same Name,6,3,Karate & Pork Chop,14
Same Name,5,3,Kathy & Dublin Ireland,18
Same Name,5,3,Kerry & Seattle Washington,22
Same Name,5,3,Kevin & Crispy Bacon,16
Same Name,5,3,Kevin & Will Smith,14
Same Name,3,3,Key & Class Ring,12
Same Name,4,3,Kids & Dollar Menu,14
Same Name,4,3,King & Double Room,14
Same Name,4,3,King & Norman Lear,14
Same Name,3,3,Kit & Swift Fox,11
Same Name,8,3,Knockout & Rum Punch,16
Same Name,6,3,Kuiper & Leather Belt,17
Same Name,2,3,La & Spiral Galaxy,14
Same Name,3,3,Lab & Life Partner,14
Same Name,5,3,Larry & Big Bird,12
Same Name,3,4,Las Vegas & Bug Strip,16
Same Name,5,3,Laser & Steel Beam,14
Same Name,4,3,Late & Swing Shift,14
Same Name,4,4,Late And Swing Shift,17
Same Name,7,3,Leather & Book Jacket,17
Same Name,7,3,Leather & Yellow Jacket,19
Same Name,7,4,Leather And Book Jacket,20
Same Name,11,3,Legislative & Tree Branch,21
Same Name,5,3,Lemon & Cough Drops,15
Same Name,6,3,Letter & Book Jacket,16
Same Name,7,4,Lettuce & That's A Wrap,17
Same Name,5,3,Lewis & Jack Black,14
Same Name,4,4,Life & Head Football Coach,21
Same Name,6,4,Lights Camera & Affirmative Action,29
Same Name,3,3,Lip Service Elevator,18
Same Name,6,3,Liquid & Clean Air,14
Same Name,6,3,Liquor & Kitchen Cabinet,20
